"","Zip","Median","Pop","city","state","latitude","longitude"
"1","01001",56662.5735,"16445","Agawam","MA",42.07061,-72.62029
"2","01002",49853.4177,"28069","Amherst","MA",42.377651,-72.50323
"3","01003",28462,"8491","Amherst","MA",42.369562,-72.63599
"4","01005",75423,"4798","Barre","MA",42.412094,-72.10443
"5","01007",79076.354,"12962","Belchertown","MA",42.278424,-72.411
"6","01008",63980,"1244","Blandford","MA",42.174313,-72.94828
"7","01009",51452,"889","Bondsville","MA",42.206092,-72.340486
"8","01010",75625,"3340","Brimfield","MA",42.126038,-72.20552
"9","01011",63476.384,"1323","Chester","MA",42.271442,-73.01958
"10","01012",58750,"677","Chesterfield","MA",42.390836,-72.84356
"11","01013",36577.6985,"22907","Chicopee","MA",42.161492,-72.60316
"12","01020",50058.2122,"29626","Chicopee","MA",42.175992,-72.57265
"13","01022",50439.9649,"2124","Chicopee","MA",42.196666,-72.55606
"14","01026",60320,"1052","Cummington","MA",42.465041,-72.91813
"15","01027",58572.5693,"17452","Easthampton","MA",42.27279,-72.68677
"16","01028",80251.9086,"14143","East Longmeadow","MA",42.066795,-72.5102
"17","01029",62955,"663","East Otis","MA",42.175896,-73.04204
"18","01030",71106.009,"11702","Feeding Hills","MA",42.070774,-72.67248
"19","01031",61250,"1192","Gilbertville","MA",42.33071,-72.18833
"20","01032",67692,"498","Goshen","MA",42.45792,-72.81551
"21","01034",63980,"1910","Granville","MA",42.086224,-72.94464
"22","01035",69911,"4801","Hadley","MA",42.35549,-72.5733
"23","01036",78869,"5089","Hampden","MA",42.064703,-72.41735
"24","01037",61250,"627","Hardwick","MA",42.374202,-72.19524
"25","01038",53939,"2557","Hatfield","MA",42.375155,-72.60832
"26","01039",66284.498,"1291","Haydenville","MA",42.381475,-72.69259
"27","01040",35549.1968,"39827","Holyoke","MA",42.201891,-72.6242
"28","01050",62097.086,"2380","Huntington","MA",42.290209,-72.87942
"29","01053",60477,"1720","Leeds","MA",42.353105,-72.70206
"30","01054",67831,"1656","Leverett","MA",42.479839,-72.49879
"31","01056",63317.7786,"21205","Ludlow","MA",42.174893,-72.47068
"32","01057",73254.3155,"8474","Monson","MA",42.089269,-72.317
"33","01060",48068.8968,"15578","Northampton","MA",42.324539,-72.63561
"34","01062",60686.0946,"11283","Florence","MA",42.324232,-72.67915
"35","01063",40694,"393","Northampton","MA",42.317939,-72.640234
"36","01066",53939,"71","North Hatfield","MA",42.406697,-72.633901
"37","01068",77396,"1651","Oakham","MA",42.349769,-72.04413
"38","01069",50344.992,"8789","Palmer","MA",42.176401,-72.32646
"39","01070",60320,"573","Plainfield","MA",42.515853,-72.91661
"40","01071",63980,"1518","Russell","MA",42.165931,-72.85153
"41","01072",67831,"1503","Shutesbury","MA",42.486027,-72.42208
"42","01073",80738,"5366","Southampton","MA",42.223885,-72.72777
"43","01074",75423,"315","South Barre","MA",42.375998,-72.149388
"44","01075",63053.2536,"17179","South Hadley","MA",42.234891,-72.58243
"45","01077",73644.8225,"8842","Southwick","MA",42.05283,-72.76966
"46","01079",51452,"625","Thorndike","MA",42.192892,-72.329574
"47","01080",50100,"2208","Three Rivers","MA",42.180563,-72.36518
"48","01081",65917,"1581","Wales","MA",42.058024,-72.22517
"49","01082",51935.6135,"10125","Ware","MA",42.270611,-72.26067
"50","01083",55030,"2887","Warren","MA",42.20468,-72.20259
"51","01084",58750,"158","West Chesterfield","MA",42.379807,-72.89043
"52","01085",57598.078,"40392","Westfield","MA",42.133642,-72.75029
"53","01086",93611,"323","Westfield","MA",42.173428,-72.847964
"54","01088",53939,"622","West Hatfield","MA",42.388831,-72.6321
"55","01089",53711.1214,"27894","West Springfield","MA",42.112793,-72.64066
"56","01092",55030,"1215","West Warren","MA",42.210777,-72.23904
"57","01093",59722,"340","Whately","MA",42.442673,-72.652511
"58","01094",61250,"340","Wheelwright","MA",42.358201,-72.140846
"59","01095",89486.1818,"13572","Wilbraham","MA",42.12531,-72.44057
"60","01096",66147.7166,"2143","Williamsburg","MA",42.415236,-72.78271
"61","01097",63980,"113","Woronoco","MA",42.161743,-72.845912
"62","01098",60320,"1212","Worthington","MA",42.399054,-72.93871
"63","01103",16962.7082,"2731","Springfield","MA",42.103294,-72.59112
"64","01104",35379.5505,"22078","Springfield","MA",42.130343,-72.57338
"65","01105",17755.5408,"12816","Springfield","MA",42.096644,-72.5798
"66","01106",91889.27,"15880","Longmeadow","MA",42.050395,-72.5712
"67","01107",23557.2427,"11615","Springfield","MA",42.120193,-72.6061
"68","01108",37410.7302,"26060","Springfield","MA",42.084094,-72.55523
"69","01109",34638.3819,"30683","Springfield","MA",42.116277,-72.55031
"70","01118",55853.211,"14283","Springfield","MA",42.093144,-72.5291
"71","01119",45184.3061,"13170","Springfield","MA",42.128442,-72.50932
"72","01128",63176.844,"3040","Springfield","MA",42.095344,-72.48857
"73","01129",58703.8126,"6982","Springfield","MA",42.121031,-72.4896
"74","01151",34174.9404,"8302","Indian Orchard","MA",42.153926,-72.50531
"75","01199",48306,"14","Springfield","MA",42.119943,-72.604983
"76","01201",46765.308,"43838","Pittsfield","MA",42.45384,-73.254
"77","01220",38378.5815,"8947","Adams","MA",42.619727,-73.11842
"78","01222",47145,"821","Ashley Falls","MA",42.057496,-73.32177
"79","01223",48478,"2287","Becket","MA",42.314449,-73.09335
